"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_3","pypara.exchange","1615569344613020259","245","127627018020","0.21739130434782608","3","9","3","9","0","0"
"Seed_Prob_0_6","pypara.monetary","1615569683056416039","129","123871332441","0.21710526315789475","19","156","16","122","3","34"
"Seed_Prob_0_3","pypara.monetary","1615569331894405764","118","123654123584","0.22039473684210525","17","168","15","148","2","20"
"Seed_Prob_0_4","pypara.dcc","1615569455683048155","142","122393242134","0.1977401129943503","11","48","11","48","0","0"
"Seed_Prob_0_1","pypara.dcc","1615569094025703702","112","122688751741","0.20903954802259886","13","52","13","52","0","0"
"Seed_Prob_0_9","pypara.commons.numbers","1615570045530899263","0","6623109829","1.0","6","66","4","27","2","39"
"Seed_Prob_0_8","pypara.commons.errors","1615569931194937220","257","123880683544","0.2857142857142857","5","57","0","0","5","57"
"Seed_Prob_0_9","pypara.dcc","1615570083682645336","156","122351230032","0.2033898305084746","11","49","11","49","0","0"
"Seed_Prob_0_1","pypara.commons.numbers","1615569093296142000","0","6472132797","1.0","5","86","2","15","3","71"
"Seed_Prob_0_2","pypara.monetary","1615569158875228607","100","123470442084","0.23026315789473684","21","243","20","232","1","11"
"Seed_Prob_0_5","pypara.dcc","1615569580389154578","130","123241586589","0.192090395480226","12","49","12","49","0","0"
"Seed_Prob_0_5","pypara.commons.numbers","1615569580391128524","0","6802988388","1.0","4","51","3","43","1","8"
"Seed_Prob_0_0","pypara.monetary","1615568940995029835","115","122930348623","0.23026315789473684","15","166","14","140","1","26"
"Seed_Prob_0_9","pypara.exchange","1615570095606663389","235","121107894472","0.21739130434782608","8","27","8","27","0","0"
"Seed_Prob_0_1","pypara.exchange","1615569093843842922","274","121217906705","0.21739130434782608","5","15","4","12","1","3"
"Seed_Prob_0_6","pypara.commons.errors","1615569683469012903","147","122882203425","0.2857142857142857","7","172","0","0","7","172"
"Seed_Prob_0_7","pypara.monetary","1615569830691511979","148","122549129421","0.23026315789473684","15","163","13","129","2","34"
"Seed_Prob_0_5","pypara.exchange","1615569578506231544","293","122112775309","0.21739130434782608","2","12","1","3","1","9"
"Seed_Prob_0_5","pypara.commons.errors","1615569580387452163","242","122374646964","0.2857142857142857","1","24","0","0","1","24"
"Seed_Prob_0_0","pypara.commons.errors","1615568941508813609","159","121678325381","0.2857142857142857","7","147","0","0","7","147"
"Seed_Prob_0_2","pypara.commons.errors","1615569158806403530","169","122418488812","0.2857142857142857","8","149","0","0","8","149"
"Seed_Prob_0_1","pypara.commons.errors","1615569092404452640","310","121705987394","0.2857142857142857","1","12","0","0","1","12"
"Seed_Prob_0_8","pypara.monetary","1615569924851748028","117","123127177591","0.23026315789473684","19","173","18","157","1","16"
"Seed_Prob_0_4","pypara.commons.numbers","1615569447512323190","0","9243738144","1.0","6","67","5","61","1","6"
"Seed_Prob_0_9","pypara.commons.errors","1615570043176699990","165","122425882510","0.2857142857142857","9","190","0","0","9","190"
"Seed_Prob_0_7","pypara.exchange","1615569798850062449","145","122398207261","0.21739130434782608","10","40","10","40","0","0"
