"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.3_Mut_0","flutes.run","1615369258234790425","195","122693857688","0.1","6","39","6","39","0","0","0","True","1"
"Init_Reuse_0.5_Mut_0","flutes.math","1615369382647265502","0","7189135650","1.0","4","47","1","13","3","34","1","True","1"
"Init_Reuse_0.7_Mut_8","flutes.structure","1615370389513741409","185","122650248466","0.43661971830985913","11","105","11","105","0","0","1","True","4"
"Init_Reuse_0.3_Mut_8","flutes.math","1615370182914438005","0","7970484677","1.0","7","70","7","70","0","0","1","True","1"
"Init_Reuse_0.5_Mut_8","flutes.iterator","1615370260608348094","215","121600035182","0.3983050847457627","16","75","16","75","0","0","5","True","9"
"Init_Reuse_0.9_Mut_4","flutes.math","1615370053389002449","0","5634531919","1.0","3","42","1","30","2","12","1","True","1"
"Init_Reuse_0.3_Mut_0","flutes.structure","1615369263665297582","228","121730497742","0.4507042253521127","9","58","8","56","1","2","1","True","4"
"Init_Reuse_0.7_Mut_4","flutes.log","1615369971532353065","163","121285860781","0.3333333333333333","9","47","9","47","0","0","1","True","1"
"Init_Reuse_0.9_Mut_0","flutes.iterator","1615369631098750078","291","122522886624","0.3728813559322034","8","84","8","84","0","0","5","True","9"
"Init_Reuse_0.0_Mut_0","flutes.timing","1615369201968268066","120","122414120913","0.5","10","277","0","0","10","277","","",""
"Init_Reuse_0.5_Mut_4","flutes.timing","1615369815026135542","193","121738517866","0.5","3","70","0","0","3","70","1","True","1"
"Init_Reuse_0.9_Mut_8","flutes.math","1615370511000270376","0","5899988666","1.0","7","81","6","48","1","33","1","True","1"
"Init_Reuse_0.3_Mut_4","flutes.iterator","1615369680348440939","188","121717245499","0.3813559322033898","11","117","11","117","0","0","5","True","9"
"Init_Reuse_0.7_Mut_4","flutes.math","1615369934802102485","0","7056150217","1.0","6","108","3","31","3","77","1","True","1"
"Init_Reuse_0.3_Mut_4","flutes.timing","1615369753055556703","276","122453063968","0.5","2","43","0","0","2","43","1","True","1"
"Init_Reuse_0.3_Mut_4","flutes.run","1615369719001903856","240","123782490078","0.1","7","50","6","43","1","7","0","True","1"
"Init_Reuse_0.5_Mut_8","flutes.exception","1615370257738763776","189","122107094592","0.1346153846153846","10","130","0","0","10","130","7","True","7"
"Init_Reuse_0.9_Mut_4","flutes.timing","1615370079356557857","142","125139246863","0.5","5","125","0","0","5","125","1","True","1"
"Init_Reuse_0.5_Mut_0","flutes.timing","1615369391600108367","318","123639358765","0.5","7","45","0","0","7","45","1","True","1"
"Init_Reuse_0.7_Mut_0","flutes.math","1615369491131873315","0","3526913323","1.0","5","63","2","15","3","48","1","True","1"
"Init_Reuse_0.7_Mut_8","flutes.log","1615370389514186724","168","122652935478","0.4222222222222222","10","71","10","71","0","0","1","True","1"
"Init_Reuse_0.3_Mut_8","flutes.timing","1615370192013001966","146","124323765249","0.5","9","211","0","0","9","211","1","True","1"
"Init_Reuse_0.7_Mut_0","flutes.timing","1615369490801519436","772","121099123518","0.5","6","11","0","0","6","11","1","True","1"
"Init_Reuse_0.5_Mut_4","flutes.exception","1615369845664230670","117","122305584125","0.1346153846153846","2","76","0","0","2","76","7","True","7"
"Init_Reuse_0.9_Mut_0","flutes.structure","1615369624918254319","472","125529505996","0.43661971830985913","8","69","6","49","2","20","1","True","4"
"Init_Reuse_0.3_Mut_0","flutes.iterator","1615369271838081539","242","123860707533","0.4152542372881356","12","92","9","77","3","15","5","True","9"
"Init_Reuse_0.3_Mut_0","flutes.timing","1615369230090835568","262","121395240275","0.5","9","109","0","0","9","109","1","True","1"
