"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.9_Mut_4","string_utils.validation","1615366582894394112","105","124578191318","0.7569444444444444","18","357","6","41","12","316","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.errors","1615366143485536136","0","11884961757","1.0","5","88","0","0","5","88","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.validation","1615366142724384636","75","125108704150","0.75","17","412","6","110","11","302","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.generation","1615365711292612391","183","121803743123","0.9047619047619048","11","55","11","55","0","0","","",""
"Init_Reuse_0.3_Mut_0","string_utils.manipulation","1615365765208447652","111","121856147029","0.8473282442748091","27","211","27","211","0","0","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.validation","1615366707190384515","89","122792909248","0.7222222222222222","18","378","8","144","10","234","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.manipulation","1615366707561835687","145","122065228571","0.8320610687022901","25","177","24","171","1","6","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.validation","1615366329780049068","94","124197425827","0.7361111111111112","18","413","6","127","12","286","","False",""
"Init_Reuse_0.9_Mut_4","string_utils.manipulation","1615366582894269795","117","122458958115","0.816793893129771","24","167","23","163","1","4","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.generation","1615366453920609688","188","121324727427","0.9047619047619048","13","68","13","68","0","0","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.generation","1615366027067435232","208","121866060998","0.9047619047619048","11","78","11","78","0","0","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.manipulation","1615366917640361014","109","121981668433","0.7862595419847328","25","217","24","214","1","3","","False",""
