"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.9_Mut_4","string_utils.generation","1615377089851584820","176","121250775391","0.9047619047619048","13","93","13","93","0","0","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.errors","1615376899939199556","0","11539390523","1.0","5","116","0","0","5","116","","False",""
"Init_Reuse_0.3_Mut_0","string_utils.errors","1615376297184225767","0","11347689251","1.0","8","161","0","0","8","161","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.errors","1615376526687729312","0","10400029057","1.0","8","169","0","0","8","169","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.manipulation","1615376526738072774","129","121675226208","0.816793893129771","26","150","24","140","2","10","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.validation","1615377467304713084","82","123723515841","0.7430555555555556","17","425","7","118","10","307","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.manipulation","1615376234087432378","118","121942233119","0.8396946564885496","22","176","22","176","0","0","","",""
"Init_Reuse_0.5_Mut_0","string_utils.errors","1615376435869419813","0","10309800455","1.0","8","163","0","0","8","163","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.generation","1615376765248462294","190","121400808708","0.9047619047619048","12","73","12","73","0","0","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.errors","1615376764173971459","0","10455708915","1.0","2","44","0","0","2","44","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.validation","1615376998766443044","82","123780709593","0.7430555555555556","18","487","5","123","13","364","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.generation","1615377478680245714","147","122928122263","0.9047619047619048","12","77","12","77","0","0","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.validation","1615376234539018832","77","123656458115","0.75","18","436","7","140","11","296","","",""
"Init_Reuse_0.5_Mut_8","string_utils.errors","1615377326376950478","0","12329696770","1.0","9","195","0","0","9","195","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.validation","1615377574014211881","92","124344070688","0.7361111111111112","20","446","6","80","14","366","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.validation","1615376522088559547","74","123721851050","0.7569444444444444","18","466","6","100","12","366","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.generation","1615377211899374310","157","121886292878","0.9047619047619048","11","73","11","73","0","0","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.generation","1615377574614348247","161","121516172522","0.9047619047619048","12","84","11","80","1","4","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.generation","1615377331906941543","212","121354400621","0.9047619047619048","12","70","12","70","0","0","","False",""
"Init_Reuse_0.3_Mut_0","string_utils.validation","1615376298209628697","99","125613966231","0.7569444444444444","17","364","7","89","10","275","","False",""
"Init_Reuse_0.3_Mut_0","string_utils.generation","1615376298713509615","172","123252404902","0.9047619047619048","11","73","11","73","0","0","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.manipulation","1615376888475370174","112","122006337200","0.8091603053435115","28","193","25","146","3","47","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.validation","1615377366472970671","87","125621810707","0.75","18","440","7","143","11","297","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.generation","1615376657141542326","145","121645218244","0.9047619047619048","13","114","13","114","0","0","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.manipulation","1615377333054489457","130","122513889519","0.8396946564885496","24","179","22","167","2","12","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.errors","1615376998930265894","0","8630160914","1.0","1","22","0","0","1","22","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.validation","1615376764146877404","80","123329362415","0.7083333333333334","18","368","7","63","11","305","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.errors","1615377469821858231","0","11566224470","1.0","1","5","0","0","1","5","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.errors","1615376234496067030","0","10898878613","1.0","4","88","0","0","4","88","","",""
"Init_Reuse_0.5_Mut_0","string_utils.manipulation","1615376436545521660","142","122347580957","0.8091603053435115","21","182","19","155","2","27","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.validation","1615377228497182314","88","123243193323","0.7361111111111112","20","410","6","59","14","351","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.manipulation","1615377217681100163","132","122014878093","0.7938931297709924","25","180","23","170","2","10","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.manipulation","1615376651723589982","122","122950942526","0.8244274809160306","27","214","25","198","2","16","","False",""
"Init_Reuse_0.9_Mut_4","string_utils.manipulation","1615377091485885483","128","122898295606","0.8396946564885496","24","218","24","218","0","0","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.generation","1615377002396600752","229","124654062109","0.9047619047619048","10","66","10","66","0","0","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.manipulation","1615377469710471070","111","122603057151","0.8473282442748091","23","248","23","248","0","0","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.errors","1615377577825511018","0","10704348490","1.0","4","37","0","0","4","37","","False",""
"Init_Reuse_0.9_Mut_4","string_utils.validation","1615377091539239850","91","122437986618","0.75","18","355","8","117","10","238","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.generation","1615376882486515363","179","121509991755","0.9047619047619048","11","74","10","65","1","9","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.manipulation","1615376763213565760","127","122203604606","0.8091603053435115","28","176","27","169","1","7","","False",""
"Init_Reuse_0.5_Mut_0","string_utils.validation","1615376435345899407","99","123279553512","0.7361111111111112","23","363","7","43","16","320","","False",""
"Init_Reuse_0.5_Mut_0","string_utils.generation","1615376464354160098","159","122250388179","0.9047619047619048","14","79","13","74","1","5","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.generation","1615376234266327953","148","121877491813","0.9047619047619048","13","84","12","77","1","7","","",""
"Init_Reuse_0.9_Mut_0","string_utils.errors","1615376644176407868","0","10055481720","1.0","6","74","0","0","6","74","","False",""
"Init_Reuse_0.9_Mut_4","string_utils.errors","1615377090411276766","0","10755683552","1.0","9","212","0","0","9","212","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.validation","1615376644187813450","73","124565985072","0.7430555555555556","18","404","6","77","12","327","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.errors","1615377229265257580","0","10363077681","1.0","7","105","0","0","7","105","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.manipulation","1615376998903046577","121","121976461825","0.8091603053435115","25","179","24","177","1","2","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.validation","1615376880903965150","88","124360068004","0.7222222222222222","19","456","7","156","12","300","","False",""
"Init_Reuse_0.3_Mut_0","string_utils.manipulation","1615376270342706647","124","121716449963","0.8091603053435115","22","167","22","167","0","0","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.manipulation","1615377579703340711","137","122697409294","0.8473282442748091","24","166","24","166","0","0","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.generation","1615376582764401815","181","123728965330","0.9047619047619048","11","76","11","76","0","0","","False",""
