"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_1","pytutils.sets","1615561493279231923","230","121812839317","0.6666666666666666","7","45","6","39","1","6"
"Seed_Prob_0_7","pytutils.excs","1615562242344613068","204","122744912448","0.16666666666666666","9","150","0","0","9","150"
"Seed_Prob_0_8","pytutils.sets","1615562302711612688","171","121410005510","0.6666666666666666","8","87","8","87","0","0"
"Seed_Prob_0_9","pytutils.pretty","1615562471739001113","296","121203356279","0.6470588235294118","8","46","8","46","0","0"
"Seed_Prob_0_7","pytutils.path","1615562206385083106","478","123653645115","0.25","1","6","0","0","1","6"
"Seed_Prob_0_3","pytutils.pythree","1615561725861391563","372","123728590851","0.42857142857142855","2","12","2","12","0","0"
"Seed_Prob_0_2","pytutils.lazy.simple_import","1615561603855943656","225","121635503393","0.6","4","92","0","0","4","92"
"Seed_Prob_0_2","pytutils.pretty","1615561581697882678","248","121448085128","0.6470588235294118","7","39","7","39","0","0"
"Seed_Prob_0_6","pytutils.iters","1615562095552130427","279","121999690242","0.26666666666666666","6","55","4","34","2","21"
"Seed_Prob_0_5","pytutils.trees","1615561957966889138","188","121536949840","0.75","9","63","9","63","0","0"
"Seed_Prob_0_7","pytutils.files","1615562224333210398","212","122416240340","0.3448275862068966","8","90","7","79","1","11"
"Seed_Prob_0_3","pytutils.python","1615561706526813291","147","121884046978","0.3","2","67","0","0","2","67"
"Seed_Prob_0_1","pytutils.pretty","1615561548703708860","209","121661386774","0.6470588235294118","4","22","4","22","0","0"
"Seed_Prob_0_0","pytutils.files","1615561313138317492","239","121266821494","0.3448275862068966","9","89","8","82","1","7"
"Seed_Prob_0_6","pytutils.pythree","1615562058052667379","265","121282221960","0.42857142857142855","5","26","5","26","0","0"
"Seed_Prob_0_5","pytutils.python","1615561974836016513","160","122995071763","0.3","6","131","0","0","6","131"
"Seed_Prob_0_3","pytutils.trees","1615561713482547685","159","121782329564","0.75","9","71","9","71","0","0"
"Seed_Prob_0_7","pytutils.urls","1615562175596047378","439","120956814059","0.75","2","10","2","10","0","0"
"Seed_Prob_0_5","pytutils.pythree","1615561944052304409","301","121096823869","0.42857142857142855","5","32","5","32","0","0"
"Seed_Prob_0_9","pytutils.props","1615562470000272627","173","121177504726","0.6470588235294118","9","65","9","65","0","0"
"Seed_Prob_0_5","pytutils.pretty","1615562005028607400","183","121501360961","0.6470588235294118","9","50","9","50","0","0"
"Seed_Prob_0_2","pytutils.iters","1615561542479068042","231","121390725808","0.26666666666666666","7","65","7","65","0","0"
"Seed_Prob_0_8","pytutils.memo","1615562345145264572","230","121374776789","0.25","8","33","8","33","0","0"
"Seed_Prob_0_6","pytutils.urls","1615562074496196622","207","121376475208","0.75","9","50","9","50","0","0"
"Seed_Prob_0_4","pytutils.pythree","1615561824412007735","237","121026943477","0.42857142857142855","7","38","7","38","0","0"
"Seed_Prob_0_6","pytutils.trees","1615562075009362018","208","121164308914","0.75","9","67","8","56","1","11"
"Seed_Prob_0_8","pytutils.debug","1615562303125533394","0","8067191397","1.0","8","146","0","0","8","146"
"Seed_Prob_0_4","pytutils.iters","1615561823579812917","210","121863490129","0.26666666666666666","8","104","5","55","3","49"
"Seed_Prob_0_3","pytutils.log","1615561709447449840","182","121859851715","0.7941176470588235","10","57","10","57","0","0"
"Seed_Prob_0_7","pytutils.props","1615562188420210703","201","121719985445","0.6470588235294118","7","60","7","60","0","0"
"Seed_Prob_0_1","pytutils.props","1615561510930177390","209","121501844266","0.6470588235294118","9","52","9","52","0","0"
"Seed_Prob_0_3","pytutils.memo","1615561725642547376","299","122346485442","0.25","7","38","7","38","0","0"
"Seed_Prob_0_2","pytutils.pythree","1615561584578722411","248","121812872871","0.42857142857142855","6","37","6","37","0","0"
"Seed_Prob_0_8","pytutils.props","1615562344466477883","239","121126723896","0.6470588235294118","7","53","7","53","0","0"
"Seed_Prob_0_1","pytutils.iters","1615561494203637066","241","121346123676","0.26666666666666666","8","85","4","25","4","60"
"Seed_Prob_0_7","pytutils.rand","1615562239925646996","0","5803477210","1.0","3","9","3","9","0","0"
"Seed_Prob_0_0","pytutils.rand","1615561371535671119","0","5715884801","1.0","9","25","9","25","0","0"
"Seed_Prob_0_8","pytutils.pythree","1615562335227014177","240","121300537435","0.42857142857142855","7","44","7","44","0","0"
"Seed_Prob_0_4","pytutils.memo","1615561835885580676","192","121749296317","0.25","10","49","10","49","0","0"
"Seed_Prob_0_3","pytutils.excs","1615561749763013863","183","122160289427","0.16666666666666666","8","169","0","0","8","169"
"Seed_Prob_0_1","pytutils.meth","1615561495171037475","0","4867042724","1.0","5","20","5","20","0","0"
"Seed_Prob_0_6","pytutils.lazy.simple_import","1615562133729850154","167","121457270937","0.6","4","111","0","0","4","111"
"Seed_Prob_0_0","pytutils.mappings","1615561371565693015","93","123382690254","0.616","20","294","18","263","2","31"
"Seed_Prob_0_4","pytutils.props","1615561849838382526","223","122164586123","0.6470588235294118","8","46","7","42","1","4"
"Seed_Prob_0_6","pytutils.pretty","1615562133171166458","161","122048828479","0.6470588235294118","10","58","10","58","0","0"
"Seed_Prob_0_0","pytutils.lazy.lazy_regex","1615561364725926592","190","122134487591","0.6041666666666666","9","71","9","71","0","0"
"Seed_Prob_0_8","pytutils.iters","1615562302703457065","223","121567121588","0.26666666666666666","5","74","5","74","0","0"
"Seed_Prob_0_4","pytutils.debug","1615561851644109847","0","8308573073","1.0","4","56","0","0","4","56"
"Seed_Prob_0_8","pytutils.excs","1615562372214249146","164","122434316114","0.16666666666666666","6","137","0","0","6","137"
"Seed_Prob_0_5","pytutils.timers","1615561945901532051","0","6455810149","1.0","4","60","4","60","0","0"
"Seed_Prob_0_4","pytutils.pretty","1615561853344245388","207","121156723094","0.6470588235294118","5","24","5","24","0","0"
"Seed_Prob_0_0","pytutils.trees","1615561358581920230","207","121432300621","0.75","6","68","6","68","0","0"
"Seed_Prob_0_9","pytutils.iters","1615562465341492535","209","121558647771","0.26666666666666666","6","79","6","79","0","0"
"Seed_Prob_0_4","pytutils.lazy.simple_import","1615561836847939470","299","121053804417","0.6","3","46","0","0","3","46"
"Seed_Prob_0_0","pytutils.urls","1615561358582811182","287","121174693798","0.75","4","18","4","18","0","0"
"Seed_Prob_0_9","pytutils.meth","1615562450279796229","0","5166912874","1.0","10","48","10","48","0","0"
"Seed_Prob_0_5","pytutils.lazy.simple_import","1615562005985922095","223","121272430041","0.6","7","108","0","0","7","108"
"Seed_Prob_0_2","pytutils.urls","1615561615239770075","224","121447207683","0.75","9","50","9","50","0","0"
"Seed_Prob_0_5","pytutils.tlds","1615562004124341759","306","121837633499","0.9166666666666666","5","34","4","31","1","3"
"Seed_Prob_0_2","pytutils.trees","1615561602468808909","228","121276488974","0.75","7","55","7","55","0","0"
"Seed_Prob_0_3","pytutils.lazy.lazy_regex","1615561707672872261","174","121379876236","0.6041666666666666","10","87","9","85","1","2"
"Seed_Prob_0_1","pytutils.path","1615561481068758549","179","121720543599","0.25","2","47","0","0","2","47"
