"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.7_Mut_0","flutils.packages","1615365996186046414","348","121365408190","0.07142857142857142","4","13","4","13","0","0","","False",""
"Init_Reuse_0.5_Mut_4","flutils.namedtupleutils","1615366341242585445","263","121218018702","0.5263157894736842","9","41","5","16","4","25","1","True","11"
"Init_Reuse_0.9_Mut_8","flutils.validators","1615367020008024092","465","121290890872","0.9565217391304348","8","36","8","36","0","0","7","True","9"
"Init_Reuse_0.7_Mut_8","flutils.setuputils.cfg","1615366903899158932","2353","121100450035","0.03773584905660377","2","0","0","0","2","0","5","True","16"
"Init_Reuse_0.5_Mut_8","flutils.packages","1615366824981654962","330","123858969599","0.07142857142857142","5","10","5","10","0","0","","False",""
"Init_Reuse_0.9_Mut_0","flutils.namedtupleutils","1615366098810978678","338","121597646492","0.5263157894736842","7","64","3","40","4","24","1","True","11"
"Init_Reuse_0.3_Mut_0","flutils.codecs.b64","1615365765509432426","247","121470330126","0.7692307692307693","7","36","6","35","1","1","2","True","13"
"Init_Reuse_0.7_Mut_8","flutils.objutils","1615366916980563594","281","121652147971","0.48484848484848486","9","86","0","0","9","86","24","True","41"
"Init_Reuse_0.9_Mut_4","flutils.setuputils.cfg","1615366581894182365","764","121164473691","0.03773584905660377","10","16","7","7","3","9","5","True","16"
"Init_Reuse_0.7_Mut_8","flutils.validators","1615366917114507907","368","121105813134","0.9565217391304348","7","36","7","36","0","0","7","True","9"
"Init_Reuse_0.3_Mut_4","flutils.namedtupleutils","1615366210463283147","278","121469601251","0.5263157894736842","9","36","5","9","4","27","1","True","11"
"Init_Reuse_0.3_Mut_4","flutils.packages","1615366210464344558","319","121565876732","0.07142857142857142","7","16","7","16","0","0","","False",""
"Init_Reuse_0.7_Mut_0","flutils.codecs.b64","1615365993577085767","394","121454848327","0.5384615384615384","9","24","5","22","4","2","2","True","13"
